date,close,diff,open,high,low,volume
2023-08-23,67100,500,66700,67100,66400,9549352
2023-08-24,68200,1100,68300,68700,67900,15044463
2023-08-25,67100,1100,67100,67400,66900,7032462
2023-08-28,66800,300,66800,67000,66500,5824628
2023-08-29,66800,0,66900,67200,66600,9114352
2023-08-30,67100,300,67300,67700,67100,9181223
2023-08-31,66900,200,67100,67200,66400,15964630
2023-09-01,71000,4100,66800,71000,66700,29738235
2023-09-04,71200,200,72900,72900,70700,26286495
2023-09-05,70700,500,70900,71500,70200,12330239
2023-09-06,70000,700,70700,70800,69700,11414620
2023-09-07,70400,400,70000,70600,69600,13741241
2023-09-08,70300,100,70200,70300,69600,10688118
2023-09-11,70800,500,70400,70800,70000,11785462
2023-09-12,70500,300,70800,71000,70400,11688599
2023-09-13,70900,400,71100,71600,70300,15955797
2023-09-14,71700,800,71200,71800,70800,21041407
2023-09-15,72000,300,71700,72300,71400,17823512
2023-09-18,70200,1800,71300,71700,70200,16040727
2023-09-19,69800,400,70400,70800,69600,11820188
2023-09-20,69600,200,70000,70300,69500,10873015
2023-09-21,68900,700,69200,69800,68800,10796336
2023-09-22,68800,100,68300,68900,68300,9897840
2023-09-25,69400,600,68500,69700,68500,13582516
2023-09-26,68600,800,70000,70000,68400,13143470
2023-09-27,68400,200,68600,69100,68200,14886491
2023-10-04,67500,900,67400,67700,66700,23361149
2023-10-05,66700,800,67300,67400,66700,16108313
2023-10-06,66000,700,67100,67300,66000,14386527
2023-10-10,66400,400,66200,67600,66200,19889202
2023-10-11,68200,1800,68600,69400,67900,25209349
2023-10-12,68900,700,68600,69700,68200,19311380
2023-10-13,68000,900,68000,68500,67700,9724086
2023-10-16,67300,700,67900,68500,66800,12599299
2023-10-17,69400,2100,67700,69900,67400,17299253
2023-10-18,70500,1100,68900,70500,68800,16493184
2023-10-19,69500,1000,69700,70000,69400,13985012
2023-10-20,68800,700,68900,69200,68100,15204495
2023-10-23,68400,400,68700,69100,68200,11625959
2023-10-24,68500,100,68700,68800,67700,12791710
2023-10-25,68000,500,68800,68800,67900,10610703
2023-10-26,66700,1300,67000,67900,66700,15517624
2023-10-27,67300,600,67100,67300,66700,11334726
2023-10-30,67300,0,66800,67800,66700,10139270
2023-10-31,66900,400,67600,68300,66900,14488892
2023-11-01,68600,1700,67500,68900,67300,13775256
2023-11-02,69700,1100,70000,70000,69400,16350031
2023-11-03,69600,100,69700,70200,69500,10322234
2023-11-06,70900,1300,69800,70900,69300,22228489
2023-11-07,70900,0,70600,70900,70000,17228731
2023-11-08,69900,1000,71300,71400,69700,12901310
2023-11-09,70300,400,69900,70800,69600,12301373
2023-11-10,70500,200,70000,70500,69500,9684347
2023-11-13,70400,100,71300,71300,70300,9246919
2023-11-14,70800,400,71000,71100,70600,9567984
2023-11-15,72200,1400,71600,72200,71500,20148677
2023-11-16,72800,600,72500,73000,72300,15860451
2023-11-17,72500,300,72300,73000,72300,11494644
2023-11-20,72700,200,72100,73000,72100,10610157
2023-11-21,72800,100,73100,73400,72700,9712881
2023-11-22,72800,0,72200,73000,71900,11105143
2023-11-23,72400,400,73000,73200,72200,6775614
2023-11-24,71700,700,72400,72600,71700,6676685
2023-11-27,71300,400,71500,72100,71100,9113857
2023-11-28,72700,1400,71400,72700,71300,13283081
2023-11-29,72700,0,72400,72800,72200,9283933
2023-11-30,72800,100,72700,72800,72200,15783714
2023-12-01,72000,800,72400,72500,71700,9871284
2023-12-04,72600,600,72800,72900,72400,10229267
2023-12-05,71200,1400,72300,72400,71200,12129682
2023-12-06,71700,500,71800,72100,71600,8123087
2023-12-07,71500,200,71800,71900,71100,8862017
2023-12-08,72600,1100,72100,72800,71900,10859463
2023-12-11,73000,400,72800,73000,72200,9861960
2023-12-12,73500,500,73300,73500,73100,13758646
2023-12-13,72800,700,73300,73500,72800,13116766
2023-12-14,73100,300,74100,74300,72500,27567593
2023-12-15,73300,200,73800,74000,73200,15419815
2023-12-18,72900,400,73300,73400,72800,9690551
2023-12-19,73400,500,73000,73400,72800,8907632
2023-12-20,74800,1400,74200,74900,73800,16870156
2023-12-21,75000,200,74600,75000,74300,13478766
2023-12-22,75900,900,75800,76300,75400,14515608
2023-12-26,76600,700,76100,76700,75700,13164909
2023-12-27,78000,1400,76700,78000,76500,20651042
2023-12-28,78500,500,77700,78500,77500,17797536
2024-01-02,79600,1100,78200,79800,78200,17142847
2024-01-03,77000,2600,78500,78800,77000,21753644
2024-01-04,76600,400,76100,77300,76100,15324439
2024-01-05,76600,0,76700,77100,76400,11304316
2024-01-08,76500,100,77000,77500,76400,11088724
2024-01-09,74700,1800,77400,77700,74300,26019249
2024-01-10,73600,1100,75000,75200,73200,20259529
2024-01-11,73200,400,72900,73600,72700,57691266
2024-01-12,73100,100,73000,74100,72800,13038939
2024-01-15,73900,800,73200,74000,73200,13212339
2024-01-16,72600,1300,73500,73700,72500,14760415
2024-01-17,71000,1600,73100,73300,71000,22683660
2024-01-18,71700,700,71600,72000,70700,17853397
2024-01-19,74700,3000,73500,74700,73000,23363427
2024-01-22,75100,400,75900,76000,75000,19673375
2024-01-23,75200,100,75700,75800,74300,14786224
2024-01-24,74000,1200,75200,75200,73500,12860661
2024-01-25,74100,100,74200,74800,73700,11737747
2024-01-26,73400,700,73700,74500,73300,11160062
2024-01-29,74400,1000,73800,75200,73500,13976521
2024-01-30,74300,100,75000,75300,73700,12244418
2024-01-31,72700,1600,73400,74000,72500,15703560
2024-02-01,73600,900,73000,74200,72900,19881033
2024-02-02,75200,1600,74000,75200,73700,14955881
2024-02-05,74300,900,74200,74800,73500,19026021
2024-02-06,74400,100,74300,74700,73300,14559254
2024-02-07,75000,600,74600,75500,74300,16566445
2024-02-08,74100,900,75000,75200,73600,20810708
2024-02-13,75200,1100,74800,75200,74400,21966745
2024-02-14,74000,1200,73700,74300,73700,12434945
2024-02-15,73000,1000,74200,74400,73000,14120600
2024-02-16,72800,200,73300,73400,72500,13444781
2024-02-19,73800,1000,72800,73900,72800,12726404
2024-02-20,73300,500,73700,73700,72800,14681477
2024-02-21,73000,300,73400,73700,72900,11503495
2024-02-22,73100,100,73800,73900,72700,15208934
2024-02-23,72900,200,73600,74200,72900,16225166
2024-02-26,72800,100,72300,73200,72200,14669352
2024-02-27,72900,100,73100,73400,72700,13201981
2024-02-28,73200,300,72900,73900,72800,11795859
2024-02-29,73400,200,72600,73400,72000,21176403
2024-03-04,74900,1500,74300,75000,74000,23210474
2024-03-05,73700,1200,74600,74800,73700,19505125
2024-03-06,72900,800,73200,73500,72700,21547905
2024-03-07,72200,700,73100,73300,72200,14516963
2024-03-08,73300,1100,72800,73400,72600,19271349
2024-03-11,72400,900,72900,73100,72300,9740504
2024-03-12,73300,900,72600,73500,72100,13011654
2024-03-13,74100,800,73700,74100,73500,15243134
2024-03-14,74300,200,74400,74500,73600,22545539
2024-03-15,72300,2000,73400,73700,72300,22580555
2024-03-18,72800,500,72600,73000,72500,11520348
2024-03-19,72800,0,72300,73000,71700,15376066
2024-03-20,76900,4100,73700,77200,73400,50106297
2024-03-21,79300,2400,79200,79300,77700,44569799
2024-03-22,78900,400,79600,79900,77800,26724761
